timestamp,event_type,player_position
1726259378.6871395,player_moved,"(45, 475)"
1726259378.7030282,player_moved,"(50, 475)"
1726259378.7193398,player_moved,"(55, 475)"
1726259378.7450926,player_moved,"(60, 475)"
1726259378.7611358,player_moved,"(65, 475)"
1726259378.7981727,player_moved,"(70, 475)"
1726259378.8138304,player_moved,"(75, 475)"
1726259378.8302588,player_moved,"(80, 475)"
1726259378.8574464,player_moved,"(85, 475)"
1726259378.873972,player_moved,"(90, 475)"
1726259378.9355474,player_moved,"(95, 475)"
1726259378.9516435,player_moved,"(100, 475)"
1726259378.968168,player_moved,"(105, 475)"
1726259378.9959388,player_moved,"(110, 475)"
1726259379.0117517,player_moved,"(115, 475)"
1726259379.041166,player_moved,"(120, 475)"
1726259379.0569222,player_moved,"(125, 475)"
1726259379.0732536,player_moved,"(130, 475)"
1726259379.0890503,player_moved,"(130, 475)"
1726259379.105007,player_moved,"(130, 475)"
1726259379.1342402,player_moved,"(130, 475)"
1726259379.1839519,player_moved,"(130, 480)"
1726259379.200451,player_moved,"(130, 485)"
1726259379.2175217,player_moved,"(130, 490)"
1726259379.2332945,player_moved,"(130, 495)"
1726259379.2490559,player_moved,"(130, 500)"
1726259379.2863731,player_moved,"(130, 505)"
1726259379.3330162,player_moved,"(130, 510)"
1726259379.348481,player_moved,"(130, 515)"
1726259379.3651195,player_moved,"(130, 520)"
1726259379.381312,player_moved,"(130, 525)"
1726259379.3971384,player_moved,"(130, 530)"
1726259379.4132168,player_moved,"(130, 535)"
1726259379.4623146,player_moved,"(135, 535)"
1726259379.4777799,player_moved,"(140, 535)"
1726259379.493552,player_moved,"(145, 535)"
1726259379.5103374,player_moved,"(150, 535)"
1726259379.536961,player_moved,"(155, 535)"
1726259379.57769,player_moved,"(160, 535)"
1726259379.593576,player_moved,"(165, 535)"
1726259379.6104,player_moved,"(170, 535)"
1726259379.6264474,player_moved,"(175, 535)"
1726259379.6423526,player_moved,"(180, 535)"
1726259379.7045631,player_moved,"(185, 535)"
1726259379.7206676,player_moved,"(190, 535)"
1726259379.737244,player_moved,"(195, 535)"
1726259379.763767,player_moved,"(200, 535)"
1726259379.780246,player_moved,"(205, 535)"
1726259379.8367605,player_moved,"(210, 535)"
1726259379.853376,player_moved,"(215, 535)"
1726259379.8689682,player_moved,"(220, 535)"
1726259379.885327,player_moved,"(225, 535)"
1726259379.9010348,player_moved,"(230, 535)"
1726259379.940012,player_moved,"(235, 535)"
1726259379.9801464,player_moved,"(240, 535)"
1726259379.9961333,player_moved,"(245, 535)"
1726259380.0116248,player_moved,"(250, 535)"
1726259380.039964,player_moved,"(255, 535)"
1726259380.0561411,player_moved,"(260, 535)"
1726259380.0964446,player_moved,"(265, 535)"
1726259380.1133802,player_moved,"(270, 535)"
1726259380.1287148,player_moved,"(275, 535)"
1726259380.1459374,player_moved,"(280, 535)"
1726259380.1620386,player_moved,"(285, 535)"
1726259380.2064068,player_moved,"(290, 535)"
1726259380.2215385,player_moved,"(295, 535)"
1726259380.2380302,player_moved,"(300, 535)"
1726259380.2646935,player_moved,"(305, 535)"
1726259380.280658,player_moved,"(310, 535)"
1726259380.3114166,player_moved,"(315, 535)"
1726259380.3266778,player_moved,"(320, 535)"
1726259380.34296,player_moved,"(325, 535)"
1726259380.3694377,player_moved,"(330, 535)"
1726259380.384932,player_moved,"(335, 535)"
1726259380.4152534,player_moved,"(340, 535)"
1726259380.431169,player_moved,"(345, 535)"
1726259380.4466755,player_moved,"(350, 535)"
1726259380.4629748,player_moved,"(355, 535)"
1726259380.4785962,player_moved,"(360, 535)"
1726259380.5234277,player_moved,"(365, 535)"
1726259380.5393572,player_moved,"(370, 535)"
1726259380.5550332,player_moved,"(375, 535)"
1726259380.5811443,player_moved,"(380, 535)"
1726259380.5969722,player_moved,"(385, 535)"
1726259380.6615968,player_moved,"(390, 535)"
1726259380.6778903,player_moved,"(395, 535)"
1726259380.694024,player_moved,"(400, 535)"
1726259380.7102373,player_moved,"(405, 535)"
1726259380.7263143,player_moved,"(410, 535)"
1726259380.741508,player_moved,"(415, 535)"
1726259380.7975562,player_moved,"(420, 535)"
1726259380.8137338,player_moved,"(425, 535)"
1726259380.8298292,player_moved,"(430, 535)"
1726259380.846583,player_moved,"(435, 535)"
1726259380.8665688,player_moved,"(440, 535)"
1726259380.8880484,player_moved,"(445, 535)"
1726259380.9167974,player_moved,"(450, 535)"
1726259380.9332879,player_moved,"(455, 535)"
1726259380.949349,player_moved,"(460, 535)"
1726259380.9752614,player_moved,"(465, 535)"
1726259380.9906082,player_moved,"(470, 535)"
1726259381.0481443,player_moved,"(475, 535)"
1726259381.0639336,player_moved,"(480, 535)"
1726259381.0805786,player_moved,"(485, 535)"
1726259381.0953689,player_moved,"(490, 535)"
1726259381.1171706,player_moved,"(495, 535)"
1726259381.1326797,player_moved,"(500, 535)"
1726259381.1684394,player_moved,"(500, 530)"
1726259381.1837914,player_moved,"(500, 525)"
1726259381.200649,player_moved,"(500, 520)"
1726259381.2276514,player_moved,"(500, 515)"
1726259381.2438586,player_moved,"(500, 510)"
1726259381.2977886,player_moved,"(500, 505)"
1726259381.3142815,player_moved,"(500, 500)"
1726259381.330052,player_moved,"(500, 495)"
1726259381.3460248,player_moved,"(500, 490)"
1726259381.3724282,player_moved,"(500, 485)"
1726259381.4036293,player_moved,"(500, 480)"
1726259381.4203253,player_moved,"(500, 475)"
1726259381.4357939,player_moved,"(500, 470)"
1726259381.4526844,player_moved,"(500, 465)"
1726259381.4798605,player_moved,"(500, 460)"
1726259381.4956894,player_moved,"(500, 455)"
1726259381.5332775,player_moved,"(500, 450)"
1726259381.5486953,player_moved,"(500, 445)"
1726259381.5654004,player_moved,"(500, 440)"
1726259381.5814404,player_moved,"(500, 435)"
1726259381.597269,player_moved,"(500, 430)"
1726259381.6358492,player_moved,"(500, 425)"
1726259381.6931624,player_moved,"(500, 420)"
1726259381.709218,player_moved,"(500, 415)"
1726259381.7245584,player_moved,"(500, 410)"
1726259381.7518494,player_moved,"(500, 405)"
1726259381.7677436,player_moved,"(500, 400)"
1726259381.8093476,player_moved,"(500, 395)"
1726259381.8245075,player_moved,"(500, 390)"
1726259381.8413625,player_moved,"(500, 385)"
1726259381.8575063,player_moved,"(500, 380)"
1726259381.873682,player_moved,"(500, 375)"
1726259381.9182513,player_moved,"(500, 370)"
1726259381.9336374,player_moved,"(500, 365)"
1726259381.9496906,player_moved,"(500, 360)"
1726259381.9772635,player_moved,"(500, 355)"
1726259381.9934795,player_moved,"(500, 350)"
1726259382.0235803,player_moved,"(500, 345)"
1726259382.0401616,player_moved,"(500, 340)"
1726259382.0693142,player_moved,"(500, 335)"
1726259382.0845487,player_moved,"(500, 330)"
1726259382.1230187,player_moved,"(500, 325)"
1726259382.1385427,player_moved,"(500, 320)"
1726259382.1554854,player_moved,"(500, 315)"
1726259382.1712325,player_moved,"(500, 310)"
1726259382.1871982,player_moved,"(500, 305)"
1726259382.2193413,player_moved,"(500, 300)"
1726259382.2354524,player_moved,"(500, 295)"
1726259382.2523143,player_moved,"(500, 290)"
1726259382.2773163,player_moved,"(500, 285)"
1726259382.2925448,player_moved,"(500, 280)"
1726259382.3298407,player_moved,"(500, 275)"
1726259382.345737,player_moved,"(500, 270)"
1726259382.3617527,player_moved,"(500, 265)"
1726259382.3778827,player_moved,"(500, 260)"
1726259382.3940535,player_moved,"(500, 255)"
1726259382.4097908,player_moved,"(500, 250)"
1726259382.4417024,player_moved,"(500, 245)"
1726259382.4575398,player_moved,"(500, 240)"
1726259382.4745464,player_moved,"(500, 235)"
1726259382.4902844,player_moved,"(500, 230)"
1726259382.5057902,player_moved,"(500, 225)"
1726259382.547841,player_moved,"(505, 225)"
1726259382.564402,player_moved,"(510, 225)"
1726259382.5795858,player_moved,"(515, 225)"
1726259382.5958571,player_moved,"(520, 225)"
1726259382.6121693,player_moved,"(525, 225)"
1726259382.6550922,player_moved,"(530, 225)"
1726259382.671435,player_moved,"(535, 225)"
1726259382.6881452,player_moved,"(540, 225)"
